Name,Address,City,State,Postal Code,Phone,Latitude,Longitude,Distance,Brand
Dogwood Tree Lane,205 Dogwood Tree Lane,Cary,NC,27519,9192196298,35.82428,-78.90184,7.964598396,7-eleven
Airport Blvd,801 Airport Blvd,Morrisville,NC,27560,9193069115,35.85454,-78.82575,12.68959327,7-eleven
Mlk Jr Blvd,1213 Mlk Jr Blvd,Chapel Hill,NC,27514,9199297855,35.94761,-79.0592,13.15622798,speedway
Broad St,100 Broad St,Fuquay-varina,NC,27526,9195579480,35.59812,-78.80029,16.60339933,speedway
S. Miami Blvd,1400 S. Miami Blvd,Durham,NC,27703,9195962057,35.9559,-78.84193,16.80233561,speedway
Western Blvd.,3912 Western Blvd.,Raleigh,NC,27606,9198331021,35.78501,-78.69124,18.51550671,speedway
E Geer Street,803 E Geer Street,Durham,NC,27704,9196885708,36.00395,-78.87912,18.59407746,speedway
Fayetteville Rd,7707 Fayetteville Rd,Raleigh,NC,27603,9842807672,35.66815,-78.69503,19.2913741,7-eleven
South Saunders St,2604 South Saunders St,Raleigh,NC,27603,9198342013,35.74817,-78.64952,20.79598741,speedway
Highway 70 West,1470 Highway 70 West,Garner,NC,27529,9197795952,35.7222,-78.6433,21.29059925,speedway
Capital Blvd.,850 Capital Blvd.,Raleigh,NC,27603,9198328478,35.79244,-78.64169,21.335948,speedway
Creedmoor Road,10920 Creedmoor Road,Raleigh,NC,27615,9198706057,35.9419,-78.68548,22.56346186,speedway
S Raleigh Rd,24 S Raleigh Rd,Angier,NC,27501,9196393380,35.50703,-78.74095,23.42173877,speedway
Jones Sausage Road,4541 Jones Sausage Road,Garner,NC,27529,9197793409,35.72063,-78.58598,24.50370846,speedway
Jones Sausage Road,4020 Jones Sausage Road,Garner,NC,27529,9196624020,35.7258,-78.5812,24.73389559,speedway
Trawick Road,1741 Trawick Road,Raleigh,NC,27604,9192312202,35.80131,-78.57841,24.93574689,speedway
E 11Th Street,320 E 11Th Street,Siler City,NC,27344,9197424070,35.73294,-79.46427,25.07642396,speedway
Louisburg Rd,4245 Louisburg Rd,Raleigh,NC,27604,9195013617,35.84205,-78.57671,25.50039778,7-eleven
Mebane Oaks Rd.,1105 Mebane Oaks Rd.,Mebane,NC,27302,9193041125,36.07268,-79.27327,25.86308296,speedway
North Main Street,1126 North Main Street,Lillington,NC,27546,9108934434,35.4131,-78.8075,26.69901001,speedway
Nc 42 W,5170 Nc 42 W,Garner,NC,27529,9197732501,35.60901,-78.56156,27.76045838,speedway
Nc Hwy 42 West,5179 Nc Hwy 42 West,Garner,NC,27529,9196611245,35.60822,-78.56085,27.81800296,speedway
Louisburg Road,7413 Louisburg Road,Raleigh,NC,27616,9198724844,35.87599,-78.54114,28.02438511,speedway
Us Highway 70 E,2808 Us Highway 70 E,Clayton,NC,27520,9195533535,35.67508,-78.52022,28.65867908,speedway
Veterans Parkway,41 Veterans Parkway,Clayton,NC,27527,9842269650,35.62775,-78.50557,30.28829311,7-eleven
Tbd,Tbd,Wake Forest,NC,27587,,35.89686,-78.50611,30.32851515,7-eleven
N. Mckinley St.,338 N. Mckinley St.,Coats,NC,27521,9108917051,35.41283,-78.67244,30.87110232,speedway
Maple Ave,2571 Maple Ave,Burlington,NC,27215,9417247915,36.06211,-79.43292,31.19743563,7-eleven
Maple Ave,2315 Maple Ave,Burlington,NC,27215,3362601033,36.0671,-79.42909,31.26974359,7-eleven
Nc Highway 56,1545 Nc Highway 56,Creedmoor,NC,27522,9195281380,36.14639,-78.7237,31.39832007,speedway
Us 70 West,11693 Us 70 West,Clayton,NC,27520,9195503314,35.65467,-78.47565,31.41408786,speedway
E. Webb Street,653 E. Webb Street,Burlington,NC,27217,3362286020,36.08815,-79.43034,32.31925796,speedway
Capital Blvd.,13960 Capital Blvd.,Wake Forest,NC,27587,9195690075,36.013,-78.5166,33.17775827,speedway
Nc Hwy 42 East,291 Nc Hwy 42 East,Clayton,NC,27527,9193592396,35.63948,-78.44033,33.59561549,speedway
Us Hwy 70 W,8060 Us Hwy 70 W,Clayton,NC,27520,9195534637,35.61415,-78.41733,35.3113974,speedway
